Bench start: 2026-05-23T11:03:17+02:00
Endpoint:    http://127.0.0.1:8081
Output:      /home/eh/llamacpp-upgrade-2026-05-17/bench-results/bench-27b-20260523-110317.jsonl

--- warmup qwen36-27b ---
--- warmup qwen36-27b-mtp ---

=== Measurement runs ===
alias                  prompt  prompt_t/s    gen_t/s    out_n    draft_n   %MTP_of_out
qwen36-27b             0        156.64      10.21      400          0          0.0%
qwen36-27b             1        122.80      10.21      400          0          0.0%
qwen36-27b             2        117.41      10.22      400          0          0.0%
qwen36-27b             3        109.10      10.22      400          0          0.0%
qwen36-27b             4        107.04      10.22      400          0          0.0%
qwen36-27b-mtp         0        123.38      17.08      400        498         58.0%
qwen36-27b-mtp         1         97.84      24.64      400        344         71.0%
qwen36-27b-mtp         2         94.17      17.72      400        480         59.5%
qwen36-27b-mtp         3         82.53      15.18      400        562         52.8%
qwen36-27b-mtp         4         86.11      17.98      400        474         60.2%

Bench end: 2026-05-23T11:08:40+02:00
