Bench start: 2026-05-19T17:44:53+02:00
Endpoint:    http://127.0.0.1:8081
Output:      /home/eh/llamacpp-upgrade-2026-05-17/bench-results/bench-20260519-174453.jsonl

--- warmup qwen35-35b-a3b ---
--- warmup qwen35-35b-a3b-mtp ---

=== Measurement runs ===
alias                     prompt  prompt_t/s    gen_t/s    out_n    draft_n   %MTP_of_out
qwen35-35b-a3b            0        314.24      52.29      400          0          0.0%
qwen35-35b-a3b            1        273.21      52.60      400          0          0.0%
qwen35-35b-a3b            2        263.42      52.21      400          0          0.0%
qwen35-35b-a3b            3        240.25      52.37      400          0          0.0%
qwen35-35b-a3b            4        237.76      52.58      400          0          0.0%
qwen35-35b-a3b-mtp        0        284.80      55.99      400        380         52.0%
qwen35-35b-a3b-mtp        1        243.89      69.94      400        302         62.0%
qwen35-35b-a3b-mtp        2        234.66      58.03      400        363         54.0%
qwen35-35b-a3b-mtp        3        212.57      52.93      400        402         49.2%
qwen35-35b-a3b-mtp        4        213.19      57.36      400        369         53.5%

Bench end: 2026-05-19T17:46:21+02:00
