cell_id,model,n_max,workload,run,elapsed_ms,prompt_ms,predicted_ms,prompt_tps,predicted_tps,prompt_n,predicted_n,draft_n,draft_n_accepted,mtp_pct,vram_peak_gb,temp_max_c,thermal_flag
wave2-moe-n2-wlcode,moe,2,code,1,6542,955.913,5570.902,844.2190868834298,71.80165797208423,807,400,300,248,62.0,32.77,77,false
wave2-moe-n2-wlcode,moe,2,code,2,5593,42.332,5536.978,94.49116507606539,72.24157293021572,4,400,300,249,62.3,32.77,76,false
wave2-moe-n2-wlcode,moe,2,code,3,5575,42.359,5519.034,94.4309355744942,72.47645149495365,4,400,300,248,62.0,32.77,76,false
wave2-moe-n2-wlcode,moe,2,code,4,5976,41.825,5920.895,95.63658099222953,67.55735408244868,4,400,324,236,59.0,32.77,75,false
wave2-moe-n2-wlcode,moe,2,code,5,5539,41.753,5483.722,95.80149929346395,72.94315795002008,4,400,298,249,62.3,32.77,75,false
wave2-moe-n2-wlstructured,moe,2,structured,1,7524,714.125,6773.069,805.1811657622965,59.0574228610398,575,400,375,211,52.8,32.77,75,false
wave2-moe-n2-wlstructured,moe,2,structured,2,6822,42.338,6766.021,94.47777410364212,59.118941546294344,4,400,376,211,52.8,32.77,76,false
wave2-moe-n2-wlstructured,moe,2,structured,3,7143,43.229,7086.008,92.5304772259363,56.44927298981317,4,400,394,201,50.2,32.77,76,false
wave2-moe-n2-wlstructured,moe,2,structured,4,6517,42.719,6460.863,93.63515063554858,61.91123383981366,4,400,356,220,55.0,32.77,76,false
wave2-moe-n2-wlstructured,moe,2,structured,5,6639,41.971,6583.495,95.30390031212028,60.75800163894709,4,400,364,217,54.2,32.77,75,false
wave2-moe-n2-wltechnical,moe,2,technical,1,8234,804.293,7367.483,859.1396418966721,54.29262612482445,691,400,407,194,48.5,32.77,76,false
wave2-moe-n2-wltechnical,moe,2,technical,2,7748,42.521,7691.827,94.07116483619858,52.003249683072696,4,400,426,185,46.2,32.77,76,false
wave2-moe-n2-wltechnical,moe,2,technical,3,7692,42.318,7635.727,94.52242544543694,52.38531969516459,4,400,424,186,46.5,32.77,76,false
wave2-moe-n2-wltechnical,moe,2,technical,4,7196,43.311,7139.734,92.35529080372191,56.024496150696926,4,400,394,201,50.2,32.77,76,false
wave2-moe-n2-wltechnical,moe,2,technical,5,7257,42.81,7199.808,93.4361130576968,55.55703707654427,4,400,399,199,49.8,32.77,76,false
wave2-moe-n2-wlcreative,moe,2,creative,1,8025,904.509,7058.677,885.5633277280823,56.66784299664087,801,400,394,202,50.5,32.77,76,false
wave2-moe-n2-wlcreative,moe,2,creative,2,7310,43.435,7252.11,92.09163117301715,55.15636138999547,4,400,406,196,49.0,32.77,77,false
wave2-moe-n2-wlcreative,moe,2,creative,3,6879,43.077,6821.674,92.85697704111243,58.63663376467419,4,400,379,209,52.2,32.77,75,false
